booking_code,booking_name,booking_type,service_id,duration,unit,staff_unit,sort_order,max_no,reminder,try,booking_code_color_id,color_hexcode,status
PRI-F,Private Front Department,,PRI1,45,1,0,100,0,,,0,#ffff00,Not Active
Prog Check,Progress Check,,COMM,15,1,0,10,0,,,0,#c27ba0,Active
PTY,PARTY,,PRT,45,1,0,15,0,,,0,#00ffff,Active
RTN,Routine Lessons,,PRI2,45,1,0,1,0,,,0,#0b5394,Active
SBA,SBA Student Lessons,,COMM,45,1,0,100,0,,,0,#9fc5e8,Not Active
SGRP,Special Group Class,,GRP1,60,1,0,100,0,,,0,#9fc5e8,Not Active
SHWCS,Showcase,,GRP1,480,1,0,100,0,,,0,#9fc5e8,Not Active
SICK,Sickness,,GEN,60,1,0,70,0,,,0,#38761d,Active
SPC,Special TIME(not counted),,GRP1,60,1,0,100,0,,,0,#9fc5e8,Not Active
SPLGHT,Spotlight,,GRP1,240,1,0,100,0,,,0,#9fc5e8,Not Active
SPRI,Promotional Private Lesson,,PRI2,45,1,0,4,0,,,0,#9900ff,Active
Spring 202,Spring 2021,,PRI3,45,1,0,99,0,,,0,#f6b26b,Active
ST-CMP,STUDIO COMPLIMENTARY,,PCMP,45,1,0,60,0,,,0,#9fc5e8,Active
SVC,Service,,COMM,45,1,0,99,0,,,0,#ff9900,Not Active
T-CMP,TEACHER COMPLIMENTARY,,NCMP,45,1,0,99,0,,,0,#9fc5e8,Not Active
TC,Training Class,,GEN,45,1,0,30,0,,,0,#b6d7a8,Active
TCT,Training Class Teacher,,GEN,45,1,0,31,0,,,0,#b6d7a8,Active
TO,Turn-Over to Teaching Departme,,COMM,30,1,0,30,0,,,0,#c27ba0,Active
Travel,Travel,,GEN,30,1,0,55,0,,,0,#d5a6bd,Active
TRI 5E,5th Lesson Try,,COMM,30,1,0,100,0,,,0,#ff9900,Not Active
TRI DE,Dance Evaluation Try,,COMM,30,1,0,2,0,,,0,#ff9900,Active
TRI REN,Renewal Try,,COMM,30,1,0,14,0,,,0,#e69138,Active
TRY,TRY,,GEN,30,1,0,99,0,,,0,#ffff00,Not Active
Try 4E,4th Lesson Try,,COMM,30,1,0,5,0,,,0,#ff9900,Active
TTE,Teaching Exchange Lesson,,PRI4,45,1,0,5,0,,,0,#9fc5e8,Active
VAC,Vacation,,GEN,480,1,0,30,0,,,0,#ea9999,Active
VIRTU,Virtual Lesson,,PRI1,45,1,0,99,0,,,0,#3d85c6,Not Active
Virtual,Virtual,,PRI1,45,1,0,1,0,,,0,#d5a6bd,Active
VISIT,Visiting Lesson,,GEN,15,1,0,23,0,,,0,#9fc5e8,Active
WDG,WeddingCrash Course,,PRI1,45,1,0,99,0,Book with Counselor,,0,#6fa8dc,Not Active
